"name","census_count"
"smith",2442977
"johnson",1932812
"williams",1625252
"brown",1437026
"jones",1425470
"garcia",1166120
"miller",1161437
"davis",1116357
"rodriguez",1094924
"martinez",1060159
"hernandez",1043281
"lopez",874523
"gonzalez",841025
"wilson",801882
"anderson",784404
"thomas",756142
"taylor",751209
"moore",724374
"jackson",708099
"martin",702625
"lee",693023
"perez",681645
"thompson",664644
"white",660491
"harris",624252
"sanchez",612752
"clark",562679
"ramirez",557423
"lewis",531781
"robinson",529821
"walker",523129
"young",484447
"allen",482607
"king",465422
"wright",458980
"scott",439530
"torres",437813
"nguyen",437645
"hill",434827
"flores",433969
"green",430182
"adams",427865
"nelson",424958
"baker",419586
"hall",407076
"rivera",391114
"campbell",386157
"mitchell",384486
"carter",376966
"roberts",376774
"gomez",365655
"phillips",360802
"evans",355593
"turner",348627
"diaz",347636
"parker",336221
"cruz",334201
"edwards",332423
"collins",329770
"reyes",327904
"stewart",324957
"morris",318884
"morales",311777
"murphy",308417
"cook",302589
"rogers",302261
"gutierrez",293218
"ortiz",286899
"morgan",286280
"cooper",280791
"peterson",278297
"bailey",277845
"reed",277030
"kelly",267394
"howard",264826
"ramos",263464
"kim",262352
"cox",261231
"ward",260464
"richardson",259798
"watson",252579
"brooks",251663
"chavez",250898
"wood",250715
"james",249379
"bennett",247599
"gray",246116
"mendoza",242771
"ruiz",238234
"hughes",236271
"price",235251
"alvarez",233983
"castillo",230420
"sanders",230374
"patel",229973
"myers",229895
"long",229374
"ross",229368
"foster",227764
"jimenez",227118
"powell",224874
"jenkins",222653
"perry",221741
"russell",221558
"sullivan",220990
"bell",220599
"coleman",219070
"butler",218847
"henderson",218393
"barnes",218241
"gonzales",214758
"fisher",214703
"vasquez",212781
"simmons",210182
"romero",208614
"jordan",208403
"patterson",205423
"alexander",204621
"hamilton",201746
"graham",201159
"reynolds",200247
"griffin",198406
"wallace",197276
"moreno",196925
"west",195818
"cole",195289
"hayes",194246
"bryant",192773
"herrera",192711
"gibson",190667
"ellis",188968
"tran",188498
"medina",188497
"aguilar",186512
"stevens",185674
"murray",184910
"ford",184832
"castro",184134
"marshall",183922
"owens",182719
"harrison",181091
"fernandez",180842
"mcdonald",180497
"woods",177425
"washington",177386
"kennedy",176865
"wells",176230
"vargas",173835
"henry",170964
"chen",169580
"freeman",169149
"webb",168878
"tucker",167446
"guzman",167044
"burns",165925
"crawford",164457
"olson",164035
"simpson",163181
"porter",163054
"hunter",162440
"gordon",161833
"mendez",161717
"silva",161633
"shaw",160400
"snyder",160262
"mason",160213
"dixon",159480
"munoz",158483
"hunt",158421
"hicks",158320
"holmes",156780
"palmer",156601
"wagner",155795
"black",154738
"robertson",153666
"boyd",153469
"rose",153397
"stone",153329
"salazar",152703
"fox",152334
"warren",152147
"mills",151942
"meyer",150895
"rice",149500
"schmidt",147034
"garza",147005
"daniels",146570
"ferguson",146426
"nichols",145584
"stephens",144646
"soto",144451
"weaver",143837
"ryan",143452
"gardner",142894
"payne",142601
"grant",142277
"dunn",141427
"kelley",140693
"spencer",139951
"hawkins",139751
"arnold",138893
"pierce",138629
"vazquez",138322
"hansen",137977
"peters",137513
"santos",137232
"hart",137184
"bradley",136720
"knight",136713
"elliott",135765
"cunningham",135718
"duncan",135187
"armstrong",135044
"hudson",134963
"carroll",134317
"lane",134227
"riley",133872
"andrews",133799
"alvarado",133501
"ray",133171
"delgado",132985
"berry",132812
"perkins",131440
"hoffman",131401
"johnston",131373
"matthews",131303
"pena",130776
"richards",130529
"contreras",130164
"willis",130152
"carpenter",129898
"lawrence",129699
"sandoval",128948
"guerrero",128677
"george",128625
"chapman",127939
"rios",127794
"estrada",127470
"ortega",127256
"watkins",127083
"greene",126101
"nunez",125350
"wheeler",125058
"valdez",124995
"harper",124461
"burke",122877
"larson",122587
"santiago",122212
"maldonado",121526
"morrison",121130
"franklin",120621
"carlson",120552
"austin",119706
"dominguez",119304
"carr",119076
"lawson",119053
"jacobs",118614
"obrien",118557
"lynch",117708
"singh",116749
"vega",116673
"bishop",116618
"montgomery",115953
"oliver",115900
"jensen",115679
"harvey",115662
"williamson",114959
"gilbert",114940
"dean",114030
"sims",113374
"espinoza",112154
"howell",112041
"li",111786
"wong",111371
"reid",111360
"hanson",111144
"le",110967
"mccoy",110744
"garrett",110697
"burton",110529
"fuller",110116
"wang",109883
"weber",109433
"welch",108987
"rojas",108421
"lucas",107690
"marquez",107533
"fields",107522
"park",106696
"yang",106033
"little",105936
"banks",105833
"padilla",105365
"day",105091
"walsh",105079
"bowman",105007
"schultz",104888
"luna",104518
"fowler",104515
"mejia",104057
"davidson",103930
"acosta",103418
"brewer",103318
"may",103306
"holland",102538
"juarez",101949
"newman",101931
"pearson",101836
"curtis",101801
"cortez",101694
"douglas",101458
"schneider",101290
"joseph",100959
"barrett",100104
"navarro",99807
"figueroa",98468
"keller",98268
"avila",97314
"wade",97040
"molina",96979
"stanley",96867
"hopkins",96810
"campos",96111
"barnett",95681
"bates",95622
"chambers",94988
"caldwell",93944
"beck",93786
"lambert",93678
"miranda",93628
"byrd",92904
"craig",92507
"ayala",92463
"lowe",92260
"frazier",92152
"powers",91970
"neal",91694
"leonard",91475
"gregory",91384
"carrillo",91129
"sutton",90964
"fleming",90677
"rhodes",90670
"shelton",90517
"schwartz",90071
"norris",89796
"jennings",89700
"watts",89649
"duran",89401
"walters",89376
"cohen",89091
"mcdaniel",88728
"moran",88615
"parks",88586
"steele",88230
"vaughn",88060
"becker",87859
"holt",87531
"deleon",87414
"barker",87162
"terry",87000
"hale",86618
"leon",86363
"hail",86240
"benson",86081
"haynes",85974
"horton",85195
"miles",84942
"lyons",84516
"pham",84320
"graves",84179
"bush",84018
"thornton",83967
"wolfe",83928
"warner",83781
"cabrera",83621
"mckinney",83616
"mann",83510
"zimmerman",83265
"dawson",83182
"lara",83067
"fletcher",83063
"page",82992
"mccarthy",82950
"love",82873
"robles",82458
"cervantes",82161
"solis",82146
"erickson",82085
"reeves",81978
