"name","census_count"
"linda",862321
"mary",1215759
"patricia",823137
"barbara",569658
"susan",847798
"nancy",500642
"deborah",679247
"sandra",533719
"carol",369899
"kathleen",434267
"sharon",454569
"karen",753289
"donna",546403
"brenda",450634
"margaret",297981
"diane",363257
"pamela",505486
"janet",296870
"shirley",164004
"carolyn",247473
"judith",165119
"janice",215004
"cynthia",587306
"elizabeth",699717
"judy",183804
"betty",159424
"joyce",180087
"christine",431056
"cheryl",363179
"gloria",151841
"beverly",162481
"martha",157042
"bonnie",158601
"catherine",277601
"dorothy",127311
"rebecca",503973
"marilyn",121600
"kathy",289861
"jane",144351
"joan",132823
"peggy",135417
"gail",130000
"virginia",139960
"connie",180762
"ann",208803
"kathryn",228550
"diana",219893
"jean",134228
"ruth",122694
"helen",107769
"frances",97780
"wanda",137047
"phyllis",89008
"paula",210727
"jacqueline",240479
"rita",110525
"alice",98583
"katherine",283326
"debra",541188
"elaine",99448
"vicki",127259
"sherry",189670
"laura",535158
"jo",92971
"theresa",251450
"ellen",112839
"joanne",104939
"marsha",72526
"rose",121173
"sheila",181400
"suzanne",153190
"marie",120746
"maria",302537
"doris",69028
"cathy",151447
"lynn",166425
"marcia",75058
"sally",87224
"darlene",122923
"charlotte",83372
"teresa",348088
"denise",336794
"lois",54165
"anne",150245
"constance",59373
"evelyn",83671
"glenda",60893
"sarah",502971
"maureen",95779
"dianne",56981
"eileen",75724
"irene",58693
"anna",185625
"victoria",180755
"jeanne",72784
"roberta",70918
"sylvia",91264
"joann",72150
"anita",120435
"sue",66259
"rosemary",51005
"charlene",79745
"geraldine",38119
"norma",69099
"lorraine",67438
"annie",48039
"lynda",45229
"vickie",98559
"louise",42236
"yvonne",90582
"julie",441431
"marlene",49482
"gwendolyn",62821
"wendy",230321
"juanita",60060
"valerie",180288
"patsy",32070
"jennifer",1256569
"julia",127979
"loretta",64753
"marjorie",38960
"stephanie",533921
"kay",41682
"colleen",121924
"rhonda",200878
"claudia",62428
"terry",389253
"michele",205696
"delores",31544
"ruby",44921
"jeanette",70227
"arlene",40592
"gayle",38891
"leslie",230335
"mildred",29670
"janis",26492
"june",38245
"vivian",47661
"dolores",34088
"carole",30342
"jill",189002
"andrea",285048
"regina",120982
"annette",111225
"sheryl",66316
"josephine",36279
"angela",549861
"sara",214875
"robin",305545
"edith",32425
"paulette",27315
"georgia",30130
"lynne",44091
"emma",39201
"lillian",38728
"rosa",59576
"edna",28933
"audrey",67685
"joy",79415
"carla",120090
"penny",79264
"esther",43087
"pauline",30201
"janie",29497
"jacquelyn",48090
"christina",357881
"jan",53942
"renee",153541
"priscilla",51603
"shelley",68339
"wilma",18753
"candace",64269
"belinda",62230
"michelle",674389
"eva",48091
"ethel",18410
"beth",137601
"clara",26740
"yolanda",87949
"lucille",19047
"gladys",23924
"bonita",21349
"grace",47337
"margie",25557
"cindy",224693
"carmen",79359
"rachel",284868
"thelma",21151
"dianna",39290
"florence",19328
"dawn",269681
"marianne",38662
"bertha",21733
"laurie",156900
"bobbie",43797
"veronica",129953
"marion",38619
"ella",20160
"eleanor",22928
"maryann",28210
"willie",163654
"lillie",16067
"emily",223901
"billie",39707
"lana",26223
"bernice",21446
"lucy",31366
"toni",75961
"jackie",98651
"faye",17428
"beatrice",23535
"marian",27027
"maxine",17133
"kristine",71683
"vicky",44487
"becky",75042
"ida",20037
"amy",577161
"hazel",15930
"lisa",932148
"debbie",181971
"melinda",118172
"lydia",46518
"francine",23274
"nora",33114
"stella",18152
"vera",20763
"terri",138737
"rosie",18429
"mona",24996
"monica",182686
"alma",28503
"bernadette",30918
"claire",33109
"ramona",35992
"myra",25022
"melanie",150105
"nina",45822
"iris",24913
"melissa",628900
"carrie",152499
"shelia",42586
"susie",23059
"jessie",68204
"harriet",11411
"trudy",17165
"mattie",11842
"dana",197828
"cecilia",31338
"marguerite",13418
"patty",37694
"dora",23304
"betsy",28921
"deanna",90735
"irma",23570
"jeannette",25602
"caroline",58965
"minnie",9710
"rosalie",13948
"antoinette",33905
"rosemarie",20388
"deloris",10442
"dale",168398
"miriam",32878
"johnnie",43844
"holly",155418
"velma",12249
"lee",146325
"lynette",33983
"bessie",10570
"naomi",33917
"lucinda",21694
"melody",57697
"jeannie",26856
"alicia",145608
"cecelia",14645
"olivia",36757
"candice",54163
"nadine",24510
"cathleen",23112
"madeline",20816
"laurel",25582
"doreen",35176
"nellie",10477
"geneva",14613
"agnes",10050
"mae",9247
"cora",13820
"jennie",28250
"tina",273037
"verna",11340
"ernestine",10172
"patti",37906
"dixie",12654
"elsie",10547
"hilda",14579
"leona",12818
"marla",31729
"roxanne",48253
"marcella",19606
"gale",16961
"susanne",17155
"ginger",37051
"guadalupe",33481
"penelope",10040
"hattie",7728
"cassandra",95727
"kathie",11038
"lena",20648
"lola",10917
"viola",9994
"della",13294
"margo",14033
"gertrude",5760
"alberta",8897
"laverne",12164
"glenna",8206
